CSAFP,CBSAFP,GEOID,NAME,NAMELSAD,LSAD,MEMI,MTFCC,ALAND,AWATER,INTPTLAT,INTPTLON
122,12020,12020,"Athens-Clarke County, GA","Athens-Clarke County, GA Metro Area",M1,1,G3110,2654607902.000000000000000,26109459.000000000000000,+33.9439840,-083.2138965
122,12060,12060,"Atlanta-Sandy Springs-Alpharetta, GA","Atlanta-Sandy Springs-Alpharetta, GA Metro Area",M1,1,G3110,22495780629.000000000000000,386874693.000000000000000,+33.6937280,-084.3999113
428,12100,12100,"Atlantic City-Hammonton, NJ","Atlantic City-Hammonton, NJ Metro Area",M1,1,G3110,1438774368.000000000000000,301270979.000000000000000,+39.4693555,-074.6337591
426,12120,12120,"Atmore, AL","Atmore, AL Micro Area",M2,2,G3110,2448595161.000000000000000,20024887.000000000000000,+31.1222867,-087.1684097
258,12140,12140,"Auburn, IN","Auburn, IN Micro Area",M2,2,G3110,939731962.000000000000000,2657419.000000000000000,+41.3967596,-085.0026969
532,12180,12180,"Auburn, NY","Auburn, NY Micro Area",M2,2,G3110,1791190744.000000000000000,445707952.000000000000000,+43.0085456,-076.5745866
194,12220,12220,"Auburn-Opelika, AL","Auburn-Opelika, AL Metro Area",M1,1,G3110,1573528082.000000000000000,21515484.000000000000000,+32.6040644,-085.3530477
 ,12260,12260,"Augusta-Richmond County, GA-SC","Augusta-Richmond County, GA-SC Metro Area",M1,1,G3110,9015022070.000000000000000,262407971.000000000000000,+33.4603713,-081.9828327
 ,12300,12300,"Augusta-Waterville, ME","Augusta-Waterville, ME Micro Area",M2,2,G3110,2246739614.000000000000000,216791008.000000000000000,+44.4170119,-069.7657639
462,12380,12380,"Austin, MN","Austin, MN Micro Area",M2,2,G3110,1842187917.000000000000000,617235.000000000000000,+43.6662486,-092.7595136
 ,12420,12420,"Austin-Round Rock-Georgetown, TX","Austin-Round Rock-Georgetown, TX Metro Area",M1,1,G3110,10928465326.000000000000000,150803449.000000000000000,+30.2497437,-097.6498417
 ,12460,12460,"Bainbridge, GA","Bainbridge, GA Micro Area",M2,2,G3110,1546842840.000000000000000,67154651.000000000000000,+30.8806431,-084.5838902
 ,12540,12540,"Bakersfield, CA","Bakersfield, CA Metro Area",M1,1,G3110,21068634240.000000000000000,78407748.000000000000000,+35.3466288,-118.7295064
548,12580,12580,"Baltimore-Columbia-Towson, MD","Baltimore-Columbia-Towson, MD Metro Area",M1,1,G3110,6737880300.000000000000000,1304105561.000000000000000,+39.3043610,-076.5495009
 ,12620,12620,"Bangor, ME","Bangor, ME Metro Area",M1,1,G3110,8798699726.000000000000000,413983093.000000000000000,+45.4092843,-068.6666160
357,12660,12660,"Baraboo, WI","Baraboo, WI Micro Area",M2,2,G3110,2153686013.000000000000000,45692969.000000000000000,+43.4280010,-089.9433184
350,12680,12680,"Bardstown, KY","Bardstown, KY Micro Area",M2,2,G3110,1081379029.000000000000000,16973349.000000000000000,+37.8031198,-085.4659312
148,12700,12700,"Barnstable Town, MA","Barnstable Town, MA Metro Area",M1,1,G3110,1021028238.000000000000000,2360307750.000000000000000,+41.7061233,-070.1648227
162,12740,12740,"Barre, VT","Barre, VT Micro Area",M2,2,G3110,1778229393.000000000000000,21169489.000000000000000,+44.2749694,-072.6094444
538,12780,12780,"Bartlesville, OK","Bartlesville, OK Micro Area",M2,2,G3110,1076201527.000000000000000,22871165.000000000000000,+36.7044030,-095.9062525
464,12860,12860,"Batavia, NY","Batavia, NY Micro Area",M2,2,G3110,1276705561.000000000000000,6137411.000000000000000,+43.0009096,-078.1927784
 ,12900,12900,"Batesville, AR","Batesville, AR Micro Area",M2,2,G3110,3543973602.000000000000000,25460921.000000000000000,+35.9276715,-091.5153590
 ,12940,12940,"Baton Rouge, LA","Baton Rouge, LA Metro Area",M1,1,G3110,11320050074.000000000000000,523384896.000000000000000,+30.5152419,-091.1269263
310,12980,12980,"Battle Creek, MI","Battle Creek, MI Metro Area",M1,1,G3110,1829210172.000000000000000,31256789.000000000000000,+42.2429896,-085.0123853
474,13020,13020,"Bay City, MI","Bay City, MI Metro Area",M1,1,G3110,1145830342.000000000000000,487717966.000000000000000,+43.6997112,-083.9787007
288,13060,13060,"Bay City, TX","Bay City, TX Micro Area",M2,2,G3110,2830645444.000000000000000,1345742564.000000000000000,+28.7747601,-096.0015316
339,13100,13100,"Beatrice, NE","Beatrice, NE Micro Area",M2,2,G3110,2205273758.000000000000000,22012188.000000000000000,+40.2552337,-096.6834528
 ,13140,13140,"Beaumont-Port Arthur, TX","Beaumont-Port Arthur, TX Metro Area",M1,1,G3110,5441915485.000000000000000,747466138.000000000000000,+30.0759278,-094.2027049
376,13180,13180,"Beaver Dam, WI","Beaver Dam, WI Micro Area",M2,2,G3110,2268049732.000000000000000,81331401.000000000000000,+43.4296276,-088.7019394
 ,13220,13220,"Beckley, WV","Beckley, WV Metro Area",M1,1,G3110,3281441359.000000000000000,27772680.000000000000000,+37.9053245,-081.1644363
144,13260,13260,"Bedford, IN","Bedford, IN Micro Area",M2,2,G3110,1163282503.000000000000000,7207557.000000000000000,+38.8398148,-086.4878198
 ,13300,13300,"Beeville, TX","Beeville, TX Micro Area",M2,2,G3110,2279809487.000000000000000,246409.000000000000000,+28.4160769,-097.7425858
198,13340,13340,"Bellefontaine, OH","Bellefontaine, OH Micro Area",M2,2,G3110,1187523861.000000000000000,21593253.000000000000000,+40.3875532,-083.7663430
 ,13380,13380,"Bellingham, WA","Bellingham, WA Metro Area",M1,1,G3110,5459483486.000000000000000,1028111662.000000000000000,+48.8426531,-121.8364325
 ,13420,13420,"Bemidji, MN","Bemidji, MN Micro Area",M2,2,G3110,6487154458.000000000000000,1426287777.000000000000000,+47.8795077,-095.0050500
140,13460,13460,"Bend, OR","Bend, OR Metro Area",M1,1,G3110,7815593157.000000000000000,94707741.000000000000000,+43.9151181,-121.2255751
 ,13500,13500,"Bennettsville, SC","Bennettsville, SC Micro Area",M2,2,G3110,1242867261.000000000000000,14489019.000000000000000,+34.6016700,-079.6794351
 ,13540,13540,"Bennington, VT","Bennington, VT Micro Area",M2,2,G3110,1747741036.000000000000000,6891098.000000000000000,+43.0353254,-073.1114603
 ,13620,13620,"Berlin, NH","Berlin, NH Micro Area",M2,2,G3110,4647923092.000000000000000,92546791.000000000000000,+44.6525477,-071.2894309
266,13660,13660,"Big Rapids, MI","Big Rapids, MI Micro Area",M2,2,G3110,1437843578.000000000000000,41665709.000000000000000,+43.6352949,-085.3327509
 ,13700,13700,"Big Spring, TX","Big Spring, TX Micro Area",M2,2,G3110,2333039143.000000000000000,8841781.000000000000000,+32.3034298,-101.4387208
 ,13720,13720,"Big Stone Gap, VA","Big Stone Gap, VA Micro Area",M2,2,G3110,1064271681.000000000000000,5344614.000000000000000,+36.9745607,-082.6215601
 ,13740,13740,"Billings, MT","Billings, MT Metro Area",M1,1,G3110,16777930231.000000000000000,98890317.000000000000000,+45.6371402,-108.8323611
 ,13780,13780,"Binghamton, NY","Binghamton, NY Metro Area",M1,1,G3110,3171194833.000000000000000,36154556.000000000000000,+42.1639276,-076.0229431
142,13820,13820,"Birmingham-Hoover, AL","Birmingham-Hoover, AL Metro Area",M1,1,G3110,11625777671.000000000000000,196427036.000000000000000,+33.4025986,-086.7295151
 ,13900,13900,"Bismarck, ND","Bismarck, ND Metro Area",M1,1,G3110,11087702753.000000000000000,165098564.000000000000000,+46.8870310,-100.9795920
292,13940,13940,"Blackfoot, ID","Blackfoot, ID Micro Area",M2,2,G3110,5422741967.000000000000000,68632371.000000000000000,+43.2163568,-112.3992058
 ,13980,13980,"Blacksburg-Christiansburg, VA","Blacksburg-Christiansburg, VA Metro Area",M1,1,G3110,2780576862.000000000000000,43249043.000000000000000,+37.1201194,-080.5591473
145,14010,14010,"Bloomington, IL","Bloomington, IL Metro Area",M1,1,G3110,3064597287.000000000000000,7804856.000000000000000,+40.4945594,-088.8445391
144,14020,14020,"Bloomington, IN","Bloomington, IN Metro Area",M1,1,G3110,2019716019.000000000000000,50079576.000000000000000,+39.2417362,-086.6717544
146,14100,14100,"Bloomsburg-Berwick, PA","Bloomsburg-Berwick, PA Metro Area",M1,1,G3110,1588834561.000000000000000,24008846.000000000000000,+41.0404036,-076.4616535
 ,14140,14140,"Bluefield, WV-VA","Bluefield, WV-VA Micro Area",M2,2,G3110,3355080341.000000000000000,9909863.000000000000000,+37.2084877,-081.3348397
 ,14180,14180,"Blytheville, AR","Blytheville, AR Micro Area",M2,2,G3110,2336409934.000000000000000,72224609.000000000000000,+35.7669437,-090.0522072
406,14220,14220,"Bogalusa, LA","Bogalusa, LA Micro Area",M2,2,G3110,1734352072.000000000000000,16140411.000000000000000,+30.8521435,-090.0462534
147,14260,14260,"Boise City, ID","Boise City, ID Metro Area",M1,1,G3110,30475336856.000000000000000,171002880.000000000000000,+43.0066485,-116.1419089
206,14300,14300,"Bonham, TX","Bonham, TX Micro Area",M2,2,G3110,2307251052.000000000000000,20847065.000000000000000,+33.5911611,-096.1049882
 ,14380,14380,"Boone, NC","Boone, NC Micro Area",M2,2,G3110,809210954.000000000000000,2275614.000000000000000,+36.2353679,-081.7098875
108,14420,14420,"Borger, TX","Borger, TX Micro Area",M2,2,G3110,2298408153.000000000000000,19507502.000000000000000,+35.8370470,-101.3627461
148,14460,14460,"Boston-Cambridge-Newton, MA-NH","Boston-Cambridge-Newton, MA-NH Metro Area",M1,1,G3110,9028959710.000000000000000,2654816872.000000000000000,+42.5176060,-071.0219925
216,14500,14500,"Boulder, CO","Boulder, CO Metro Area",M1,1,G3110,1881324131.000000000000000,36486613.000000000000000,+40.0949619,-105.3977045
150,14540,14540,"Bowling Green, KY","Bowling Green, KY Metro Area",M1,1,G3110,4182918464.000000000000000,61829014.000000000000000,+37.0468044,-086.3973979
 ,14580,14580,"Bozeman, MT","Bozeman, MT Micro Area",M2,2,G3110,6747831014.000000000000000,73615974.000000000000000,+45.5180536,-111.1639214
 ,14620,14620,"Bradford, PA","Bradford, PA Micro Area",M2,2,G3110,2537395850.000000000000000,13034578.000000000000000,+41.8145902,-078.5724631
 ,14660,14660,"Brainerd, MN","Brainerd, MN Micro Area",M2,2,G3110,7821324098.000000000000000,1426317310.000000000000000,+46.7672909,-094.2238624
 ,14700,14700,"Branson, MO","Branson, MO Micro Area",M2,2,G3110,1637731194.000000000000000,49953773.000000000000000,+36.6498267,-093.0428188
 ,14720,14720,"Breckenridge, CO","Breckenridge, CO Micro Area",M2,2,G3110,1575563237.000000000000000,28310936.000000000000000,+39.6210227,-106.1375545
500,14740,14740,"Bremerton-Silverdale-Port Orchard, WA","Bremerton-Silverdale-Port Orchard, WA Metro Area",M1,1,G3110,1023308791.000000000000000,442187072.000000000000000,+47.6395948,-122.6496339
288,14780,14780,"Brenham, TX","Brenham, TX Micro Area",M2,2,G3110,1564855485.000000000000000,45471320.000000000000000,+30.2150752,-096.4102717
120,14820,14820,"Brevard, NC","Brevard, NC Micro Area",M2,2,G3110,979943597.000000000000000,5091023.000000000000000,+35.2101025,-082.8166660
408,14860,14860,"Bridgeport-Stamford-Norwalk, CT","Bridgeport-Stamford-Norwalk, CT Metro Area",M1,1,G3110,1618664029.000000000000000,549280913.000000000000000,+41.2274128,-073.3670614
298,15020,15020,"Brookhaven, MS","Brookhaven, MS Micro Area",M2,2,G3110,1518269755.000000000000000,5291052.000000000000000,+31.5352155,-090.4535663
 ,15060,15060,"Brookings, OR","Brookings, OR Micro Area",M2,2,G3110,4217489863.000000000000000,934614482.000000000000000,+42.4664387,-124.2109292
 ,15100,15100,"Brookings, SD","Brookings, SD Micro Area",M2,2,G3110,2051833299.000000000000000,32942236.000000000000000,+44.3766745,-096.7977971
297,15140,15140,"Brownsville, TN","Brownsville, TN Micro Area",M2,2,G3110,1380741528.000000000000000,2472509.000000000000000,+35.5866782,-089.2826913
154,15180,15180,"Brownsville-Harlingen, TX","Brownsville-Harlingen, TX Metro Area",M1,1,G3110,2309519001.000000000000000,996418659.000000000000000,+26.1029227,-097.4789584
 ,15220,15220,"Brownwood, TX","Brownwood, TX Micro Area",M2,2,G3110,2446120246.000000000000000,32375524.000000000000000,+31.7641372,-098.9984560
 ,15260,15260,"Brunswick, GA","Brunswick, GA Metro Area",M1,1,G3110,3352025475.000000000000000,808563365.000000000000000,+31.3017391,-081.5889087
360,15340,15340,"Bucyrus-Galion, OH","Bucyrus-Galion, OH Micro Area",M2,2,G3110,1040619652.000000000000000,2359514.000000000000000,+40.8485244,-082.9247827
160,15380,15380,"Buffalo-Cheektowaga, NY","Buffalo-Cheektowaga, NY Metro Area",M1,1,G3110,4053548068.000000000000000,2075721485.000000000000000,+43.0443711,-078.7773351
 ,15420,15420,"Burley, ID","Burley, ID Micro Area",M2,2,G3110,8605508283.000000000000000,53087062.000000000000000,+42.3691987,-113.6424237
178,17140,17140,"Cincinnati, OH-KY-IN","Cincinnati, OH-KY-IN Metro Area",M1,1,G3110,11775246804.000000000000000,218907029.000000000000000,+39.1005465,-084.4795331
 ,17220,17220,"Clarksburg, WV","Clarksburg, WV Micro Area",M2,2,G3110,2353009814.000000000000000,10802215.000000000000000,+39.2883500,-080.4315298
 ,17260,17260,"Clarksdale, MS","Clarksdale, MS Micro Area",M2,2,G3110,1432509882.000000000000000,77542049.000000000000000,+34.2303156,-090.6040104
 ,17300,17300,"Clarksville, TN-KY","Clarksville, TN-KY Metro Area",M1,1,G3110,5589088416.000000000000000,218217640.000000000000000,+36.6957098,-087.6243072
 ,17340,17340,"Clearlake, CA","Clearlake, CA Micro Area",M2,2,G3110,3254452700.000000000000000,188748214.000000000000000,+39.0948019,-122.7467569
185,17380,17380,"Cleveland, MS","Cleveland, MS Micro Area",M2,2,G3110,2270141682.000000000000000,81446732.000000000000000,+33.7991391,-090.8841199
174,17420,17420,"Cleveland, TN","Cleveland, TN Metro Area",M1,1,G3110,1977111861.000000000000000,26866020.000000000000000,+35.1381174,-084.6550787
184,17460,17460,"Cleveland-Elyria, OH","Cleveland-Elyria, OH Metro Area",M1,1,G3110,5176805788.000000000000000,5128428315.000000000000000,+41.5550370,-081.6049566
163,17500,17500,"Clewiston, FL","Clewiston, FL Micro Area",M2,2,G3110,2993896403.000000000000000,86578552.000000000000000,+26.5399670,-081.1521142
209,17540,17540,"Clinton, IA","Clinton, IA Micro Area",M2,2,G3110,1799934696.000000000000000,39410955.000000000000000,+41.8980732,-090.5342431
188,17580,17580,"Clovis, NM","Clovis, NM Micro Area",M2,2,G3110,3640295680.000000000000000,7992977.000000000000000,+34.5729841,-103.3460546
434,17620,17620,"Coamo, PR","Coamo, PR Micro Area",M2,2,G3110,202052321.000000000000000,38061.000000000000000,+18.1037997,-066.3575862
490,17640,17640,"Coco, PR","Coco, PR Micro Area",M2,2,G3110,179755401.000000000000000,115816412.000000000000000,+17.9714853,-066.2622515
518,17660,17660,"Coeur d'Alene, ID","Coeur d'Alene, ID Metro Area",M1,1,G3110,3205833858.000000000000000,184447536.000000000000000,+47.6759569,-116.6959192
 ,17700,17700,"Coffeyville, KS","Coffeyville, KS Micro Area",M2,2,G3110,1666900085.000000000000000,20430012.000000000000000,+37.1895369,-095.7424028
310,17740,17740,"Coldwater, MI","Coldwater, MI Micro Area",M2,2,G3110,1311597696.000000000000000,34428004.000000000000000,+41.9184551,-085.0668852
 ,17780,17780,"College Station-Bryan, TX","College Station-Bryan, TX Metro Area",M1,1,G3110,5439946980.000000000000000,86586475.000000000000000,+30.7543917,-096.4885368
 ,17820,17820,"Colorado Springs, CO","Colorado Springs, CO Metro Area",M1,1,G3110,6950209059.000000000000000,12030556.000000000000000,+38.8455072,-104.6387277
190,17860,17860,"Columbia, MO","Columbia, MO Metro Area",M1,1,G3110,4439510648.000000000000000,45548673.000000000000000,+38.9864864,-092.5851888
192,17900,17900,"Columbia, SC","Columbia, SC Metro Area",M1,1,G3110,9590883167.000000000000000,338706020.000000000000000,+34.0775845,-081.0378453
194,17980,17980,"Columbus, GA-AL","Columbus, GA-AL Metro Area",M1,1,G3110,7215862921.000000000000000,82405160.000000000000000,+32.4193768,-084.8437095
294,18020,18020,"Columbus, IN","Columbus, IN Metro Area",M1,1,G3110,1053968848.000000000000000,6715105.000000000000000,+39.2058430,-085.8979988
200,18060,18060,"Columbus, MS","Columbus, MS Micro Area",M2,2,G3110,1309092529.000000000000000,28545194.000000000000000,+33.4714237,-088.4397227
 ,18100,18100,"Columbus, NE","Columbus, NE Micro Area",M2,2,G3110,1745780718.000000000000000,27297317.000000000000000,+41.5768655,-097.5134673
198,18140,18140,"Columbus, OH","Columbus, OH Metro Area",M1,1,G3110,12423069750.000000000000000,139133538.000000000000000,+39.9685617,-082.8359105
148,18180,18180,"Concord, NH","Concord, NH Micro Area",M2,2,G3110,2416197730.000000000000000,57178203.000000000000000,+43.2995786,-071.6800412
458,18220,18220,"Connersville, IN","Connersville, IN Micro Area",M2,2,G3110,556901577.000000000000000,366408.000000000000000,+39.6396552,-085.1850315
 ,18260,18260,"Cookeville, TN","Cookeville, TN Micro Area",M2,2,G3110,2961364792.000000000000000,35053195.000000000000000,+36.2772512,-085.4685013
 ,18300,18300,"Coos Bay, OR","Coos Bay, OR Micro Area",M2,2,G3110,4133788140.000000000000000,544653413.000000000000000,+43.1859095,-124.0941335
 ,18380,18380,"Cordele, GA","Cordele, GA Micro Area",M2,2,G3110,706236802.000000000000000,21409235.000000000000000,+31.9202675,-083.7565301
539,18420,18420,"Corinth, MS","Corinth, MS Micro Area",M2,2,G3110,1036110409.000000000000000,3408033.000000000000000,+34.8865689,-088.5811091
122,18460,18460,"Cornelia, GA","Cornelia, GA Micro Area",M2,2,G3110,717083984.000000000000000,5669790.000000000000000,+34.6343924,-083.5258749
236,18500,18500,"Corning, NY","Corning, NY Micro Area",M2,2,G3110,3601398422.000000000000000,35039875.000000000000000,+42.2667252,-077.3855253
